MS	RV	id	tokens
1		11	According to the ranking , he is the seventh-richest person in New York City , behind David H. Koch , an industrialist and heir to an oil fortune ; Carl C. Icahn , a master of leveraged buyouts ; [SUBJ-PERSON] Rupert Murdoch [/SUBJ-PERSON] , the chairman and chief executive of the [OBJ-ORGANIZATION] News Corporation [/OBJ-ORGANIZATION] ; S. I. Newhouse Jr. , a publishing executive ; Leonard Blavatnik , a Russian-born industrialist ; and the financier Ronald O. Perelman .
1		12	[SUBJ-PERSON] Howard Schultz [/SUBJ-PERSON] , the chairman of [OBJ-ORGANIZATION] Starbucks [/OBJ-ORGANIZATION] , has testified before Congress about it , and has said that his company spends more on health care costs than on coffee beans .
1		13	In a place in which there is no in-state media market that is dominant , and where you have a history of tough campaigning , they 're going to make a difference , '' said [SUBJ-PERSON] Kathleen Hall Jamieson [/SUBJ-PERSON] , director of the Annenberg Public Policy Center at the [OBJ-ORGANIZATION] University of Pennsylvania [/OBJ-ORGANIZATION] .
1		14	When Judge Sim Lake of the Federal District Court in Houston spent just one day picking the jury that is hearing the criminal case against two former [OBJ-ORGANIZATION] Enron [/OBJ-ORGANIZATION] executives , [SUBJ-PERSON] Kenneth Lay [/SUBJ-PERSON] and Jeffrey Skilling , he drew scorn from some defense lawyers , who seem to presume that fairness and inefficiency are inseparable bedfellows .
1		15	A pianist and composer , Ms. Rittmann was first hired by Lincoln Kirstein in 1937 , played piano for [SUBJ-PERSON] George Balanchine [/SUBJ-PERSON] 's American Ballet Caravan -- a forerunner of the [OBJ-LOCATION] New York City Ballet [/OBJ-LOCATION] -- and was a concert pianist for the choreographer Agnes de Mille .
1		16	This is essentially a political decision , because there 's massive public hostility to immigration in the U.K. , '' said [SUBJ-PERSON] Nick Pearce [/SUBJ-PERSON] , director of the [OBJ-ORGANIZATION] Institute for Public Policy Research [/OBJ-ORGANIZATION] , a left-leaning think tank . ''
1		17	[SUBJ-PERSON] John Madden [/SUBJ-PERSON] will join [OBJ-ORGANIZATION] NBC [/OBJ-ORGANIZATION] 's '' Sunday Night Football '' in 2006 , completing a sportscasting journey in which he has analyzed games for all four major broadcast networks , starting with CBS 26 years ago .
1		18	"Except for sociopaths , humans are built to feel and act out of empathy , said [SUBJ-PERSON] Stephen G. Post [/SUBJ-PERSON] , a professor of bioethics at [OBJ-ORGANIZATION] Case Western Reserve University [/OBJ-ORGANIZATION] 's medical school and co-author of '' Why Good Things Happen to Good People , '' scheduled to be published in May ."
1		19	ONE [OBJ-ORGANIZATION] Delphi [/OBJ-ORGANIZATION] finance executive who remains at the company and is in line to receive some of the pay pile if the bankruptcy court approves the plan is [SUBJ-PERSON] John D. Sheehan [/SUBJ-PERSON] , the chief restructuring officer .
1		20	Things like Guantanamo make people question whether we believe our own values , and whether what the president says about protecting civil liberties is actually true , '' said [SUBJ-PERSON] Edward Luck [/SUBJ-PERSON] , head of the Center on International Organization at [OBJ-ORGANIZATION] Columbia University [/OBJ-ORGANIZATION] . ''
1		21	The U.S. does n't have the stomach for military invasion , and the world community is not going to stand by this time , '' said [SUBJ-PERSON] Abbas Milani [/SUBJ-PERSON] , director of Iranian studies at [OBJ-ORGANIZATION] Stanford University [/OBJ-ORGANIZATION] .
1		22	It 's the quiet little hit that is succeeding totally under the radar , '' said [SUBJ-PERSON] Leslie Moonves [/SUBJ-PERSON] , the [OBJ-ORGANIZATION] CBS [/OBJ-ORGANIZATION] chief executive .
1		23	[SUBJ-PERSON] Anton Zeilinger [/SUBJ-PERSON] of the [OBJ-ORGANIZATION] University of Vienna [/OBJ-ORGANIZATION] said that he thought , '' The world is not as real as we think . ''
1		24	[SUBJ-PERSON] Howard Stern [/SUBJ-PERSON] will have a television home for his [OBJ-ORGANIZATION] Sirius Satellite Radio [/OBJ-ORGANIZATION] show under an agreement announced yesterday by him and iN DEMAND Networks .
1		25	A8 Middle East Coordinator Named The Bush administration announced that [SUBJ-PERSON] James Wolfensohn [/SUBJ-PERSON] , the outgoing president of the [OBJ-ORGANIZATION] World Bank [/OBJ-ORGANIZATION] , would become a special coordinator to help Israel carry out its handover of Gaza to the Palestinians .
1		26	They have often pointed to the deal with [OBJ-ORGANIZATION] Halliburton [/OBJ-ORGANIZATION] , which was led by [SUBJ-PERSON] Dick Cheney [/SUBJ-PERSON] before he quit to become vice president , as an example of cronyism by the Bush administration in awarding lucrative contracts .
1		27	When Mr. Letterman was close to jumping to ABC , [SUBJ-PERSON] Leslie Moonves [/SUBJ-PERSON] , the chairman of [OBJ-ORGANIZATION] CBS [/OBJ-ORGANIZATION] , was prepared to name Mr. Stewart his new host instantly .
1		28	Ms. Jordan said Secretary of State Condoleezza Rice informed [SUBJ-PERSON] Kofi Annan [/SUBJ-PERSON] , the secretary general of the [OBJ-ORGANIZATION] United Nations [/OBJ-ORGANIZATION] , of the move on Monday .
1		29	Prince Zeid Raad al-Hussein , Jordan 's ambassador to the [OBJ-ORGANIZATION] United Nations [/OBJ-ORGANIZATION] , will be a candidate to succeed Secretary General [SUBJ-PERSON] Kofi Annan [/SUBJ-PERSON] when his second five-year term ends Dec. 31 .
(stopped here bc these are all correct)		30	[SUBJ-PERSON] Eric Foner [/SUBJ-PERSON] , a [OBJ-ORGANIZATION] Columbia University [/OBJ-ORGANIZATION] history professor , quickly resigned as an adviser to the Freedom Center .
		31	But it needs better enforcement language , '' said [SUBJ-PERSON] Joseph Ansanelli [/SUBJ-PERSON] , the chief executive and co-founder of [OBJ-LOCATION] Vontu [/OBJ-LOCATION] , an information security company in California , who has frequently testified before Congress on issues of consumer privacy protection .
		32	At [OBJ-ORGANIZATION] NBC Universal [/OBJ-ORGANIZATION] , [SUBJ-PERSON] Jeff Zucker [/SUBJ-PERSON] , the second in command to Mr. Wright , is regarded as being in line to succeed him .
		33	The deal , which could be completed this week , would be a coup for Merrill Lynch and a disappointment for [SUBJ-PERSON] John J. Mack [/SUBJ-PERSON] , the chief executive of [OBJ-ORGANIZATION] Morgan Stanley [/OBJ-ORGANIZATION] , who just weeks ago had pursued a similar agreement with BlackRock and its chief executive , Laurence D. Fink .
		34	Ms. Tsien and Mr. Williams were chosen after a competition that began with 24 teams of architects and was narrowed to two finalists , [SUBJ-PERSON] Thom Mayne [/SUBJ-PERSON] 's [OBJ-ORGANIZATION] Morphosis [/OBJ-ORGANIZATION] being the other .
		35	Ms. Hefner , the chief executive of [OBJ-ORGANIZATION] Playboy Enterprises [/OBJ-ORGANIZATION] and the daughter of its founder , [SUBJ-PERSON] Hugh Hefner [/SUBJ-PERSON] , wants to parlay the 52-year-old men 's magazine brand into a multimedia , multiplatform entertainment company that rakes in licensing fees .
		36	We 're helping companies clean up their labels , '' said [OBJ-PERSON] Senomyx [/OBJ-PERSON] 's chief executive , [SUBJ-PERSON] Kent Snyder [/SUBJ-PERSON] .
		37	[SUBJ-PERSON] Mary Cheney [/SUBJ-PERSON] , 37 , is a vice president at [OBJ-ORGANIZATION] AOL [/OBJ-ORGANIZATION] ; Ms. Poe , a former park ranger , is 45 .
		38	But such experiences had to hurt , [SUBJ-PERSON] Nancy Hopkins [/SUBJ-PERSON] , a biology professor at the [OBJ-ORGANIZATION] Massachusetts Institute of Technology [/OBJ-ORGANIZATION] , said in an interview .
		39	And [SUBJ-PERSON] Sangam Pant [/SUBJ-PERSON] , a director of [OBJ-ORGANIZATION] Evercore Partners [/OBJ-ORGANIZATION] , manages a venture fund that channels American institutional investments to Indian entrepreneurs in the United States and in India .
		40	I think [SUBJ-PERSON] Sam Walton [/SUBJ-PERSON] , being the family-oriented man he was , would be rolling over in his grave about this , '' Mr. Frankens , the pastor of Homer Pentecostal Church , said in a telephone interview , referring to the [OBJ-ORGANIZATION] Wal-Mart [/OBJ-ORGANIZATION] founder . ''
		41	"It 's irrational , '' said [SUBJ-PERSON] Peter Bragdon [/SUBJ-PERSON] , the general counsel at [OBJ-ORGANIZATION] Columbia Sportswear [/OBJ-ORGANIZATION] , one of the companies suing the government ."
		42	Clearly , we investigated that whole issue , '' said [SUBJ-PERSON] David C. Drummond [/SUBJ-PERSON] , [OBJ-ORGANIZATION] Google [/OBJ-ORGANIZATION] 's general counsel and senior vice president of corporate development .
		43	"The Internet is very effective for our clients , '' said [SUBJ-PERSON] David Kenny [/SUBJ-PERSON] , chief executive of the online marketing agency [OBJ-ORGANIZATION] Digitas [/OBJ-ORGANIZATION] ."
		44	Central London is going through a '' golden age , '' said [SUBJ-PERSON] Dennis Stevenson [/SUBJ-PERSON] , the chairman of the British bank [OBJ-ORGANIZATION] HBOS [/OBJ-ORGANIZATION] and the former chairman of Pearson . ''
		45	[SUBJ-PERSON] Rupert Murdoch [/SUBJ-PERSON] , whose [OBJ-ORGANIZATION] News Corporation [/OBJ-ORGANIZATION] owns 42 percent of Gemstar , warned Mr. Loughlin not to alienate TV Guide 's existing readers , according to someone who has discussed strategy with Mr. Loughlin .
		46	Federal auditors rebuked the company for unsubstantiated billing in its Iraq reconstruction contracts , and it has been criticized because of accusations that [OBJ-ORGANIZATION] Halliburton [/OBJ-ORGANIZATION] , led by [SUBJ-PERSON] Dick Cheney [/SUBJ-PERSON] before he became vice president , was aided by connections in obtaining contracts .
		47	ECONOMIC SCENE [SUBJ-PERSON] Austan Goolsbee [/SUBJ-PERSON] is a professor of economics at the [OBJ-ORGANIZATION] University of Chicago [/OBJ-ORGANIZATION] , Graduate School of Business and a research fellow at the American Bar Foundation .
		48	Economic Scene [SUBJ-PERSON] Robert H. Frank [/SUBJ-PERSON] is an economist at the Johnson School of Management at [OBJ-ORGANIZATION] Cornell University [/OBJ-ORGANIZATION] and the author , most recently , of '' What Price the Moral High Ground ? ''
		49	John P. Surma Jr. , the chief executive of U.S. Steel , for example , received total compensation of $ 6.7 million last year ; [SUBJ-PERSON] Alain J. P. Belda [/SUBJ-PERSON] , the chief executive of [OBJ-ORGANIZATION] Alcoa [/OBJ-ORGANIZATION] , the aluminum manufacturer , received $ 7.5 million .
		50	Officials have looked closely at Mr. Pellicano 's work for Bert Fields of the Greenberg , Glusker law firm , which has a long roster of star clients , and at lawsuits in which Mr. Fields used the investigator to help , among others , [SUBJ-PERSON] Brad Grey [/SUBJ-PERSON] , who at the time headed the Brillstein-Grey management agency and now is the chairman of [OBJ-ORGANIZATION] Paramount Pictures [/OBJ-ORGANIZATION] .
		51	But if there was foul play in his death , it may have had more to do with internal power struggles than with the United Nations investigation , said [SUBJ-PERSON] Joshua Landis [/SUBJ-PERSON] , a professor of Middle Eastern history at the [OBJ-ORGANIZATION] University of Oklahoma [/OBJ-ORGANIZATION] who is now conducting research in Damascus . ''
		52	Interbreeding could have been genetically advantageous to the incoming humans , says [SUBJ-PERSON] Bruce Lahn [/SUBJ-PERSON] , a geneticist at the [OBJ-ORGANIZATION] University of Chicago [/OBJ-ORGANIZATION] , because the Neanderthals were well adapted to the cold European climate -- the last ice age had another 35,000 years to run -- and to local diseases .
		53	People [SUBJ-PERSON] Christopher Carter [/SUBJ-PERSON] is joining [OBJ-ORGANIZATION] Morgan Stanley [/OBJ-ORGANIZATION] in London as a managing director and vice chairman of institutional securities .
		54	"It 's so hypocritical for any network in this culture to go all puritanical on the subject of condom use when their programming is so salacious , '' said [SUBJ-PERSON] Mark Crispin Miller [/SUBJ-PERSON] , a media critic who teaches at [OBJ-ORGANIZATION] New York University [/OBJ-ORGANIZATION] . ''"
		55	[SUBJ-PERSON] William Dean Singleton [/SUBJ-PERSON] , the maverick chief executive of the [OBJ-ORGANIZATION] MediaNews Group [/OBJ-ORGANIZATION] , had a special announcement for the editors of his 55 daily newspapers when they met in this rustic mountain resort early in May . ''
		56	Op-Ed Contributor [SUBJ-PERSON] Stanley Fish [/SUBJ-PERSON] , a former chairman of the English department at [OBJ-ORGANIZATION] Duke University [/OBJ-ORGANIZATION] , is a professor of law at Florida International University .
		57	The other is Becky A. Klein , a senior policy adviser to [SUBJ-PERSON] George W. Bush [/SUBJ-PERSON] when he was governor of [OBJ-LOCATION] Texas [/OBJ-LOCATION] and a former chairwoman of the Public Utility Commission of Texas .
		58	To a large extent , most of us in the environmental movement think most people agree with us , '' said [SUBJ-PERSON] Bill McKibben [/SUBJ-PERSON] , a scholar in residence at [OBJ-ORGANIZATION] Middlebury College [/OBJ-ORGANIZATION] and the author of '' The End of Nature , '' a 1989 book on global warming .
		59	In drafting its plans , the creative team sought feedback from advisers including [SUBJ-PERSON] Kenneth T. Jackson [/SUBJ-PERSON] , an American history scholar at [OBJ-ORGANIZATION] Columbia University [/OBJ-ORGANIZATION] ; Sara Bloomfield , director of the United States Holocaust Memorial Museum in Washington ; and Anthony D. Romero , executive director of the American Civil Liberties Union .
		60	[SUBJ-PERSON] Robert S. Langer [/SUBJ-PERSON] , a research scientist at the [OBJ-ORGANIZATION] Massachusetts Institute of Technology [/OBJ-ORGANIZATION] and a biotechnology pioneer , says that he shares the concerns raised in the National Academy of Sciences report but that he remains confident about the country 's prospects . ''
		61	[SUBJ-PERSON] Kofi Annan [/SUBJ-PERSON] , the [OBJ-ORGANIZATION] United Nations [/OBJ-ORGANIZATION] secretary general , called on all countries in the region not to harbor Mr. Taylor , a United Nations spokesman said .
		62	[SUBJ-PERSON] Mark V. Hurd [/SUBJ-PERSON] , the chairman and chief executive , is the person shouldering the responsibility for managing the scandal 's fallout and , for the time being , it appears that he has guided [OBJ-ORGANIZATION] Hewlett-Packard [/OBJ-ORGANIZATION] through the crisis with the same skill he has been using to turn around this once-stumbling technology giant .
		63	"Songs From ` Here Lies Love ' '' offered 20 selections from his forthcoming multimedia production about [SUBJ-PERSON] Imelda Marcos [/SUBJ-PERSON] , the former first lady of the [OBJ-LOCATION] Philippines [/OBJ-LOCATION] and an enduring symbol of despotic extravagance and shoe love ."
		64	[OBJ-ORGANIZATION] Wal-Mart [/OBJ-ORGANIZATION] 's chief financial officer , [SUBJ-PERSON] Thomas M. Schoewe [/SUBJ-PERSON] , said utility expenses rose $ 100 million and fuel costs were up $ 30 million in the quarter .
		65	Mr. Schmidt , who owns a Gulfstream jet , joins a list of island commuters that includes [SUBJ-PERSON] Jack Welch [/SUBJ-PERSON] , the former chief executive of [OBJ-ORGANIZATION] General Electric [/OBJ-ORGANIZATION] , and Louis V. Gerstner Jr. , the former chief executive of I.B.M. Because Google is in Silicon Valley , Mr. Schmidt will have one of the longest commutes .
		66	The new emphasis on easy server management comes a few weeks after [SUBJ-PERSON] Kevin B. Rollins [/SUBJ-PERSON] , [OBJ-ORGANIZATION] Dell [/OBJ-ORGANIZATION] 's chief executive , told analysts that Dell would spend $ 100 million to '' regain customer experience leadership , '' referring to reports that Dell 's customer service was lagging and driving away customers .
		67	Under prodding from Westerners like [SUBJ-PERSON] Robert McNamara [/SUBJ-PERSON] , the head of the [OBJ-ORGANIZATION] World Bank [/OBJ-ORGANIZATION] , countries adopted '' fertility targets '' to achieve '' optimal '' population size .
		68	In the next few weeks , the board of [OBJ-ORGANIZATION] American University [/OBJ-ORGANIZATION] will decide the future of its longtime leader , [SUBJ-PERSON] Benjamin Ladner [/SUBJ-PERSON] , who has become the latest college president to be investigated over the nature of his spending .
		69	[SUBJ-PERSON] Donald Runnicles [/SUBJ-PERSON] To Relinquish Post Donald Runnicles , below , will not renew his contract as music director of the [OBJ-LOCATION] San Francisco Opera [/OBJ-LOCATION] when it expires in 2009 , The Associated Press reported .
		70	Kodak Appoints Chief Executive [OBJ-ORGANIZATION] Eastman Kodak [/OBJ-ORGANIZATION] named [SUBJ-PERSON] Antonio M. Perez [/SUBJ-PERSON] , the president and chief operating officer , as its chief executive .
		71	Queen Elizabeth II conferred an honorary knighthood on [SUBJ-PERSON] Bill Gates [/SUBJ-PERSON] , the chairman of [OBJ-ORGANIZATION] Microsoft [/OBJ-ORGANIZATION] , in a private ceremony at Buckingham Palace in recognition of his role in business and philanthropy .
		72	Op-Ed Contributor [SUBJ-PERSON] Bernd Heinrich [/SUBJ-PERSON] , emeritus professor at the [OBJ-ORGANIZATION] University of Vermont [/OBJ-ORGANIZATION] , is the author of '' The Geese of Beaver Bog . ''
		73	A quick look at the pledge by the [OBJ-ORGANIZATION] World Bank [/OBJ-ORGANIZATION] president , [SUBJ-PERSON] Paul Wolfowitz [/SUBJ-PERSON] , to change Africa '' from a continent of despair to a continent of hope '' shows why .
		74	' I do not mind borrowing a spatula or spoon , '' says [SUBJ-PERSON] Eric Ripert [/SUBJ-PERSON] , the chef at [OBJ-PERSON] Le Bernardin [/OBJ-PERSON] . ''
		75	Literary Light [SUBJ-PERSON] Russ Rymer [/SUBJ-PERSON] has been named editor in chief of [OBJ-PERSON] Mother Jones [/OBJ-PERSON] magazine , effective Feb. 7 .
		76	This was all supposed to change with [SUBJ-PERSON] Kofi Annan [/SUBJ-PERSON] , the '' least self-aggrandizing of men , '' who took the helm of the [OBJ-ORGANIZATION] United Nations [/OBJ-ORGANIZATION] in 1997 .
		77	At a Goldman Sachs conference in September , [SUBJ-PERSON] Leslie Moonves [/SUBJ-PERSON] , then co-chief operating officer of [OBJ-ORGANIZATION] Viacom [/OBJ-ORGANIZATION] , now chief executive of CBS , the broadcast operations that split from Viacom , said : '' I wish the F.C.C. did n't regulate us .
		78	[SUBJ-PERSON] Lawrence D. Burns [/SUBJ-PERSON] , [OBJ-ORGANIZATION] General Motors [/OBJ-ORGANIZATION] ' vice president for research and planning , says G.M. aims to have a production-ready fuel-cell vehicle -LRB- built on an innovative '' skateboard '' platform that could support a variety of bodies -RRB- by 2010 .
		79	Among those scientists were Phillip A. Sharp of M.I.T. and [SUBJ-PERSON] David Baltimore [/SUBJ-PERSON] , now the president of the [OBJ-ORGANIZATION] California Institute of Technology [/OBJ-ORGANIZATION] , who are both Nobel laureates .
		80	Instead of actual cases or histories , there are a number of heartfelt and even eloquent testimonials by doctors , like [SUBJ-PERSON] Jerome Groopman [/SUBJ-PERSON] of [OBJ-ORGANIZATION] Harvard [/OBJ-ORGANIZATION] and Ralph Snyderman , a former chancellor of Duke University , who believe in the new notion of integrative medicine -- medicine that pays attention to the patient 's history , values and lifestyle as well as to the numbers on his chart .
		81	But the growth of Cingular into the nation 's largest wireless carrier -- with a nearly fully unionized labor force -- has challenged those assumptions and given a new spark to organized labor , said [SUBJ-PERSON] Harry C. Katz [/SUBJ-PERSON] , dean of the School of Industrial and Labor Relations at [OBJ-ORGANIZATION] Cornell University [/OBJ-ORGANIZATION] . ''
		82	Then came the Chicago White Sox ' trade of [SUBJ-PERSON] Harold Baines [/SUBJ-PERSON] to [OBJ-LOCATION] Baltimore [/OBJ-LOCATION] , and , Phillips said , '' There was all this hoopla . '' ''
		83	[OBJ-PERSON] Eric E. Schmidt [/OBJ-PERSON] , [SUBJ-ORGANIZATION] Google [/SUBJ-ORGANIZATION] 's chief executive , explains the company 's astounding success in advertising -- and reconciles it with the founders ' distrust of hucksterism -- by suggesting that advertising should be interesting , relevant and useful to users . ''
		84	Initial members included Mr. Perkins ; George A. Keyworth II , a former Reagan administration science adviser ; [SUBJ-PERSON] Richard A. Hackborn [/SUBJ-PERSON] , a former [OBJ-ORGANIZATION] Hewlett-Packard [/OBJ-ORGANIZATION] executive ; and Lawrence T. Babbio Jr. , vice chairman of Verizon .
		85	The Army later used that task order as a justification for awarding the company a new $ 1.4 billion noncompetitive contract to restore oil equipment , a program that became one of the most criticized moves of the conflict partly because Vice President [SUBJ-PERSON] Dick Cheney [/SUBJ-PERSON] was once the top executive at [OBJ-ORGANIZATION] Halliburton [/OBJ-ORGANIZATION] .
		86	[SUBJ-PERSON] Leslie Moonves [/SUBJ-PERSON] , the president and chief executive of [OBJ-ORGANIZATION] CBS [/OBJ-ORGANIZATION] , said he expected '' Grey 's Anatomy '' to take some audience away from CBS 's biggest show , '' CSI , '' on Thursday nights , but he suggested that the audience might expand .
		87	"In his first year as chairman of the [OBJ-ORGANIZATION] Securities and Exchange Commission [/OBJ-ORGANIZATION] , [SUBJ-PERSON] Christopher Cox [/SUBJ-PERSON] confounded both supporters and detractors by taking a more moderate and nuanced position than they had predicted on a variety of regulatory issues , based on his record as a conservative Republican lawmaker ."
		88	[SUBJ-PERSON] David Ji [/SUBJ-PERSON] , an entrepreneur from California , made his fortune by connecting cheap , ambitious manufacturers in China to electronics stores in the United States through his company , [OBJ-ORGANIZATION] Apex Digital [/OBJ-ORGANIZATION] .
		89	I think the Sadrists are a social movement , not really so much an organization , '' said [SUBJ-PERSON] Juan Cole [/SUBJ-PERSON] , a specialist on Shiite Islam at the [OBJ-ORGANIZATION] University of Michigan [/OBJ-ORGANIZATION] . ''
		90	After announcing the transaction , [SUBJ-PERSON] Rupert Murdoch [/SUBJ-PERSON] , left , the chief executive of [OBJ-ORGANIZATION] News Corporation [/OBJ-ORGANIZATION] , said that after initial doubts he was won over on the deal after meeting the entrepreneurs who run the company , and studying the surging popularity of MySpace.com with young consumers .
		91	In a raw interview transcript posted on MSNBC 's Web site last week -- and quickly seized on by John Aravosis of AmericaBlog -- the NBC News foreign affairs correspondent Andrea Mitchell asked Mr. Risen if he knew whether the [OBJ-ORGANIZATION] CNN [/OBJ-ORGANIZATION] correspondent [SUBJ-PERSON] Christiane Amanpour [/SUBJ-PERSON] might have been wiretapped .
		92	To get things moving , when [SUBJ-PERSON] Mark V. Hurd [/SUBJ-PERSON] became chairman of [OBJ-ORGANIZATION] Hewlett-Packard [/OBJ-ORGANIZATION] last year , Rahul Sood pitched him , outlining how an alliance would be good for all .
		93	[SUBJ-PERSON] Jared Bernstein [/SUBJ-PERSON] of the [OBJ-ORGANIZATION] Economic Policy Institute [/OBJ-ORGANIZATION] , a left-leaning research group in Washington , said that it took 21 months , on average , for the labor market to recover the jobs lost during the 10 recessions from World War II to 1991 .
		94	The chief executive of the [OBJ-ORGANIZATION] News Corporation [/OBJ-ORGANIZATION] , [SUBJ-PERSON] Rupert Murdoch [/SUBJ-PERSON] , said that grabbing a bigger piece of the growing audiences and advertisers online was a strategic priority .
		95	[SUBJ-PERSON] Dan Glickman [/SUBJ-PERSON] , chairman of the [OBJ-ORGANIZATION] Motion Picture Association of America [/OBJ-ORGANIZATION] , crowed that the raid showed that '' there are no safe harbors for Internet copyright thieves . ''
		96	In its early years this brainchild of [SUBJ-PERSON] Henry Mitchell MacCracken [/SUBJ-PERSON] , [OBJ-ORGANIZATION] New York University [/OBJ-ORGANIZATION] 's chancellor , was a sensation , engaging the public and the press in spirited debate about who merited inclusion .
		97	Speaking at the Goldman Sachs conference , [SUBJ-PERSON] Jeffrey Bewkes [/SUBJ-PERSON] , chief operating officer of [OBJ-ORGANIZATION] Time Warner [/OBJ-ORGANIZATION] , said ad sales at its AOL unit were '' very robust . ''
		98	"We 're confident we 're providing a new outlet for them for distribution , '' said [SUBJ-PERSON] Chad Hurley [/SUBJ-PERSON] , chief executive and co-founder of YouTube , a division of [OBJ-ORGANIZATION] Google [/OBJ-ORGANIZATION] . ''"
		99	Investors are more cautious and are avoiding stocks , said [SUBJ-PERSON] Sallie Krawcheck [/SUBJ-PERSON] , [OBJ-ORGANIZATION] Citigroup [/OBJ-ORGANIZATION] 's chief financial officer . ''
		100	Secretary General [SUBJ-PERSON] Kofi Annan [/SUBJ-PERSON] of the [OBJ-ORGANIZATION] United Nations [/OBJ-ORGANIZATION] called for a halt to test preparations . ''
		101	Boxing regulators have criticized the safety panel because every member has links to the boxing commissioners in Nevada or has political ties to the state 's [OBJ-ORGANIZATION] Republican [/OBJ-ORGANIZATION] governor , [SUBJ-PERSON] Kenny Guinn [/SUBJ-PERSON] , who appoints the commissioners .
		102	For [SUBJ-PERSON] Leslie Moonves [/SUBJ-PERSON] , the chief executive of the [OBJ-ORGANIZATION] CBS Corporation [/OBJ-ORGANIZATION] , it was a week to savor .
		103	The one thing he loved more than music was Turkey , '' Anatolia quoted [SUBJ-PERSON] Lyor Cohen [/SUBJ-PERSON] , the chief executive of the [OBJ-ORGANIZATION] Warner Music Group [/OBJ-ORGANIZATION] , the parent company of Atlantic Records , as saying .
		104	[SUBJ-PERSON] Rupert Murdoch [/SUBJ-PERSON] , 74 , the chairman and chief executive of the [OBJ-ORGANIZATION] News Corporation [/OBJ-ORGANIZATION] , has made clear that he would like one of his children to succeed him .
		105	At a news conference last week , [SUBJ-PERSON] Leslie Moonves [/SUBJ-PERSON] , president and chief executive at the [OBJ-ORGANIZATION] CBS Corporation [/OBJ-ORGANIZATION] , acknowledged the potential effect of '' Grey 's Anatomy '' on ratings for '' CSI . '' ''
		106	In 2005 , household spending totaled $ 9 trillion , or 20 percent more than spending in Europe , nearly four times the Japanese total , and nine times the corresponding Chinese figure , said [SUBJ-PERSON] Stephen S. Roach [/SUBJ-PERSON] , chief economist at [OBJ-ORGANIZATION] Morgan Stanley [/OBJ-ORGANIZATION] . ''
